infinitive;infinitif;group;voice;tense;person;latin;french;primitive tenses
putare;penser;1;actif;parfait;3;putavit;il a pensé;puto, as, are, avi, atum
putare;penser;1;actif;parfait;4;putavimus;nous avons pensé;puto, as, are, avi, atum
putare;penser;1;actif;parfait;5;putavistis;vous avez pensé;puto, as, are, avi, atum
putare;penser;1;actif;parfait;6;putaverunt;ils ont pensé;puto, as, are, avi, atum
putare;penser;1;actif;futur antérieur;1;putavero;j'aurai pensé;puto, as, are, avi, atum
putare;penser;1;actif;futur antérieur;2;putaveris;tu auras pensé;puto, as, are, avi, atum
putare;penser;1;actif;futur antérieur;3;putaverit;il aura pensé;puto, as, are, avi, atum
putare;penser;1;actif;futur antérieur;4;putaverimus;nous aurons pensé;puto, as, are, avi, atum
putare;penser;1;actif;futur antérieur;5;putaveritis;vous aurez pensé;puto, as, are, avi, atum
putare;penser;1;actif;futur antérieur;6;putaverint;ils auront pensé;puto, as, are, avi, atum
putare;penser;1;actif;plus-que-parfait;1;putaveram;j'avais pensé;puto, as, are, avi, atum
putare;penser;1;actif;plus-que-parfait;2;putaveras;tu avais pensé;puto, as, are, avi, atum
putare;penser;1;actif;plus-que-parfait;3;putaverat;il avait pensé;puto, as, are, avi, atum
putare;penser;1;actif;plus-que-parfait;4;putaveramus;nous avions pensé;puto, as, are, avi, atum
putare;penser;1;actif;plus-que-parfait;5;putaveratis;vous aviez pensé;puto, as, are, avi, atum
putare;penser;1;actif;plus-que-parfait;6;putaverant;ils avaient pensé;puto, as, are, avi, atum
rogare;demander;1;actif;présent;1;rogo;je demande;rogo, as, are, avi, atum
rogare;demander;1;actif;présent;2;rogas;tu demandes;rogo, as, are, avi, atum
rogare;demander;1;actif;présent;3;rogat;il demande;rogo, as, are, avi, atum
rogare;demander;1;actif;présent;4;rogamus;nous demandons;rogo, as, are, avi, atum
rogare;demander;1;actif;présent;5;rogatis;vous demandez;rogo, as, are, avi, atum
rogare;demander;1;actif;présent;6;rogant;ils demandent;rogo, as, are, avi, atum
rogare;demander;1;actif;futur;1;rogabo;je demanderai;rogo, as, are, avi, atum
rogare;demander;1;actif;futur;2;rogabis;tu demanderas;rogo, as, are, avi, atum
rogare;demander;1;actif;futur;3;rogabit;il demandera;rogo, as, are, avi, atum
rogare;demander;1;actif;futur;4;rogabimus;nous demanderons;rogo, as, are, avi, atum
rogare;demander;1;actif;futur;5;rogabitis;vous demanderez;rogo, as, are, avi, atum
rogare;demander;1;actif;futur;6;rogabunt;ils demanderont;rogo, as, are, avi, atum
rogare;demander;1;actif;imparfait;1;rogabam;je demandais;rogo, as, are, avi, atum
rogare;demander;1;actif;imparfait;2;rogabas;tu demandais;rogo, as, are, avi, atum
rogare;demander;1;actif;imparfait;3;rogabat;il demandait;rogo, as, are, avi, atum
rogare;demander;1;actif;imparfait;4;rogabamus;nous demandions;rogo, as, are, avi, atum
rogare;demander;1;actif;imparfait;5;rogabatis;vous demandiez;rogo, as, are, avi, atum
rogare;demander;1;actif;imparfait;6;rogabant;ils demandaient;rogo, as, are, avi, atum
rogare;demander;1;actif;parfait;1;rogavi;j'ai demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;parfait;2;rogavisti;tu as demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;parfait;3;rogavit;il a demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;parfait;4;rogavimus;nous avons demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;parfait;5;rogavistis;vous avez demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;parfait;6;rogaverunt;ils ont demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;futur antérieur;1;rogavero;j'aurai demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;futur antérieur;2;rogaveris;tu auras demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;futur antérieur;3;rogaverit;il aura demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;futur antérieur;4;rogaverimus;nous aurons demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;futur antérieur;5;rogaveritis;vous aurez demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;futur antérieur;6;rogaverint;ils auront demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;plus-que-parfait;1;rogaveram;j'avais demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;plus-que-parfait;2;rogaveras;tu avais demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;plus-que-parfait;3;rogaverat;il avait demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;plus-que-parfait;4;rogaveramus;nous avions demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;plus-que-parfait;5;rogaveratis;vous aviez demandé;rogo, as, are, avi, atum
rogare;demander;1;actif;plus-que-parfait;6;rogaverant;ils avaient demandé;rogo, as, are, avi, atum
delere;détruire;2;actif;présent;1;deleo;je détruis;deleo, es, ere, evi, etum
delere;détruire;2;actif;présent;2;deles;tu détruis;deleo, es, ere, evi, etum
delere;détruire;2;actif;présent;3;delet;il détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;présent;4;delemus;nous détruisons;deleo, es, ere, evi, etum
delere;détruire;2;actif;présent;5;deletis;vous détruisez;deleo, es, ere, evi, etum
delere;détruire;2;actif;présent;6;delent;ils détruisent;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur;1;delebo;je détruirai;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur;2;delebis;tu détruiras;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur;3;delebit;il détruira;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur;4;delebimus;nous détruirons;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur;5;delebitis;vous détruirez;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur;6;delebunt;ils détruiront;deleo, es, ere, evi, etum
delere;détruire;2;actif;imparfait;1;delebam;je détruisais;deleo, es, ere, evi, etum
delere;détruire;2;actif;imparfait;2;delebās;tu détruisais;deleo, es, ere, evi, etum
delere;détruire;2;actif;imparfait;3;delebat;il détruisait;deleo, es, ere, evi, etum
delere;détruire;2;actif;imparfait;4;delebāmus;nous détruisions;deleo, es, ere, evi, etum
delere;détruire;2;actif;imparfait;5;delebātis;vous détruisiez;deleo, es, ere, evi, etum
delere;détruire;2;actif;imparfait;6;delebant;ils détruisaient;deleo, es, ere, evi, etum
delere;détruire;2;actif;parfait;1;delevi;j'ai détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;parfait;2;delevisti;tu as détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;parfait;3;delevit;il a détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;parfait;4;delevimus;nous avons détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;parfait;5;delevistis;vous avez détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;parfait;6;deleverunt;ils ont détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur antérieur;1;delevero;j'aurai détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur antérieur;2;deleveris;tu auras détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur antérieur;3;deleverit;il aura détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur antérieur;4;deleverimus;nous aurons détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur antérieur;5;deleveritis;vous aurez détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;futur antérieur;6;deleverint;ils auront détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;plus-que-parfait;1;deleveram;j'avais détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;plus-que-parfait;2;deleveras;tu avais détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;plus-que-parfait;3;deleverat;il avait détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;plus-que-parfait;4;deleveramus;nous avions détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;plus-que-parfait;5;deleveratis;vous aviez détruit;deleo, es, ere, evi, etum
delere;détruire;2;actif;plus-que-parfait;6;deleverant;ils avaient détruit;deleo, es, ere, evi, etum
debere;devoir;2;actif;présent;1;debeo;je dois;debeo, es, ere, ui, itum
debere;devoir;2;actif;présent;2;debes;tu dois;debeo, es, ere, ui, itum
debere;devoir;2;actif;présent;3;debet;il doit;debeo, es, ere, ui, itum
debere;devoir;2;actif;présent;4;debemus;nous devons;debeo, es, ere, ui, itum
debere;devoir;2;actif;présent;5;debetis;vous devez;debeo, es, ere, ui, itum
debere;devoir;2;actif;présent;6;debent;ils doivent;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur;1;debebo;je devrai;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur;2;debebis;tu devras;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur;3;debebit;il devra;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur;4;debebimus;nous devrons;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur;5;debebitis;vous devrez;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur;6;debebunt;ils devront;debeo, es, ere, ui, itum
debere;devoir;2;actif;imparfait;1;debebam;je devais;debeo, es, ere, ui, itum
debere;devoir;2;actif;imparfait;2;debebas;tu devais;debeo, es, ere, ui, itum
debere;devoir;2;actif;imparfait;3;debebat;il devait;debeo, es, ere, ui, itum
debere;devoir;2;actif;imparfait;4;debebamus;nous devions;debeo, es, ere, ui, itum
debere;devoir;2;actif;imparfait;5;debebatis;vous deviez;debeo, es, ere, ui, itum
debere;devoir;2;actif;imparfait;6;debebant;ils devaient;debeo, es, ere, ui, itum
debere;devoir;2;actif;parfait;1;debui;j'ai dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;parfait;2;debuisti;tu as dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;parfait;3;debuit;il a dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;parfait;4;debuimus;nous avons dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;parfait;5;debuistis;vous avez dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;parfait;6;debuerunt;ils ont dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur antérieur;1;debubero;j'aurai dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur antérieur;2;debueris;tu auras dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur antérieur;3;debuerit;il aura dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur antérieur;4;debuerimus;nous aurons dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur antérieur;5;debueritis;vous aurez dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;futur antérieur;6;debuerint;ils auront dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;plus-que-parfait;1;debueram;j'avais dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;plus-que-parfait;2;debueras;tu avais dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;plus-que-parfait;3;debuerat;il avait dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;plus-que-parfait;4;debueramus;nous avions dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;plus-que-parfait;5;debueratis;vous aviez dû;debeo, es, ere, ui, itum
debere;devoir;2;actif;plus-que-parfait;6;debuerant;ils avaient dû;debeo, es, ere, ui, itum
habere;avoir;2;actif;présent;1;habeo;j'ai;habeo, es, ere, ui, itum
habere;avoir;2;actif;présent;2;habes;tu as;habeo, es, ere, ui, itum
habere;avoir;2;actif;présent;3;habet;il a;habeo, es, ere, ui, itum
habere;avoir;2;actif;présent;4;habemus;nous avons;habeo, es, ere, ui, itum
habere;avoir;2;actif;présent;5;habetis;vous avez;habeo, es, ere, ui, itum
habere;avoir;2;actif;présent;6;habent;ils ont;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur;1;habebo;j'aurai;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur;2;habebis;tu auras;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur;3;habebit;il aura;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur;4;habebimus;nous aurons;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur;5;habebitis;vous aurez;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur;6;habebunt;ils auront;habeo, es, ere, ui, itum
habere;avoir;2;actif;imparfait;1;habebam;j'avais;habeo, es, ere, ui, itum
habere;avoir;2;actif;imparfait;2;habebas;tu avais;habeo, es, ere, ui, itum
habere;avoir;2;actif;imparfait;3;habebat;il avait;habeo, es, ere, ui, itum
habere;avoir;2;actif;imparfait;4;habebamus;nous avions;habeo, es, ere, ui, itum
habere;avoir;2;actif;imparfait;5;habebatis;vous aviez;habeo, es, ere, ui, itum
habere;avoir;2;actif;imparfait;6;habebant;ils avaient;habeo, es, ere, ui, itum
habere;avoir;2;actif;parfait;1;habui;j'ai eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;parfait;2;habuisti;tu as eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;parfait;3;habuit;il a eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;parfait;4;habuimus;nous avons eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;parfait;5;habuistis;vous avez eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;parfait;6;habuerunt;ils ont eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur antérieur;1;habuero;j'aurai eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur antérieur;2;habueris;tu auras eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur antérieur;3;habuerit;il aura eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur antérieur;4;habuerimus;nous aurons eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur antérieur;5;habueritis;vous aurez eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;futur antérieur;6;habuerint;ils auront eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;plus-que-parfait;1;habueram;j'avais eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;plus-que-parfait;2;habueras;tu avais eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;plus-que-parfait;3;habuerat;il avait eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;plus-que-parfait;4;habueramus;nous avions eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;plus-que-parfait;5;habueratis;vous aviez eu;habeo, es, ere, ui, itum
habere;avoir;2;actif;plus-que-parfait;6;habuerant;ils avaient eu;habeo, es, ere, ui, itum
iubere;ordonner;2;actif;présent;1;iubeo;j'ordonne;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;présent;2;iubes;tu ordonnes;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;présent;3;iubet;il ordonne;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;présent;4;iubemus;nous ordonnons;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;présent;5;iubetis;vous ordonnez;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;présent;6;iubent;ils ordonnent;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur;1;iubebo;j'ordonnerai;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur;2;iubebis;tu ordonneras;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur;3;iubebit;il ordonnera;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur;4;iubebimus;nous ordonnerons;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur;5;iubebitis;vous ordonnerez;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur;6;iubebunt;ils ordonneront;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;imparfait;1;iubebam;j'ordonnais;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;imparfait;2;iubebas;tu ordonnais;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;imparfait;3;iubebat;il ordonnait;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;imparfait;4;iubebamus;nous ordonnions;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;imparfait;5;iubebatis;vous ordonniez;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;imparfait;6;iubebant;ils ordonnaient;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;parfait;1;iussi;j'ai ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;parfait;2;iussisti;tu as ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;parfait;3;iussit;il a ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;parfait;4;iussimus;nous avons ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;parfait;5;iussistis;vous avez ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;parfait;6;iusserunt;ils ont ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur antérieur;1;iussero;j'aurai ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur antérieur;2;iusseris;tu auras ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur antérieur;3;iusserit;il aura ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur antérieur;4;iusserimus;nous aurons ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur antérieur;5;iusseritis;vous aurez ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;futur antérieur;6;iusserint;ils auront ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;plus-que-parfait;1;iusseram;j'avais ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;plus-que-parfait;2;iusseras;tu avais ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;plus-que-parfait;3;iusserat;il avait ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;plus-que-parfait;4;iusseramus;nous avions ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;plus-que-parfait;5;iusseratis;vous aviez ordonné;iubeo, es, ere, iussi, iussum
iubere;ordonner;2;actif;plus-que-parfait;6;iusserant;ils avaient ordonné;iubeo, es, ere, iussi, iussum
monere;avertir;2;actif;présent;1;moneo;j'avertis;moneo, es, ere, ui, itum
monere;avertir;2;actif;présent;2;mones;tu avertis;moneo, es, ere, ui, itum
monere;avertir;2;actif;présent;3;monet;il avertit;moneo, es, ere, ui, itum
monere;avertir;2;actif;présent;4;monemus;nous avertissons;moneo, es, ere, ui, itum
monere;avertir;2;actif;présent;5;monetis;vous avertissez;moneo, es, ere, ui, itum
monere;avertir;2;actif;présent;6;monent;ils avertissent;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur;1;monebo;j'avertirai;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur;2;monebis;tu avertiras;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur;3;monebit;il avertira;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur;4;monebimus;nous avertirons;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur;5;monebitis;vous avertirez;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur;6;monebunt;ils avertiront;moneo, es, ere, ui, itum
monere;avertir;2;actif;imparfait;1;monebam;j'avertissais;moneo, es, ere, ui, itum
monere;avertir;2;actif;imparfait;2;monebas;tu avertissais;moneo, es, ere, ui, itum
monere;avertir;2;actif;imparfait;3;monebat;il avertissait;moneo, es, ere, ui, itum
monere;avertir;2;actif;imparfait;4;monebamus;nous avertissions;moneo, es, ere, ui, itum
monere;avertir;2;actif;imparfait;5;monebatis;vous avertissiez;moneo, es, ere, ui, itum
monere;avertir;2;actif;imparfait;6;monebant;ils avertissaient;moneo, es, ere, ui, itum
monere;avertir;2;actif;parfait;1;monui;j'ai averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;parfait;2;monuisti;tu as averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;parfait;3;monuit;il a averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;parfait;4;monuimus;nous avons averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;parfait;5;monuistis;vous avez averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;parfait;6;monuerunt;ils ont averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur antérieur;1;monuero;j'aurai averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur antérieur;2;monueris;tu auras averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur antérieur;3;monuerit;il aura averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur antérieur;4;monuerimus;nous aurons averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur antérieur;5;monueritis;vous aurez averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;futur antérieur;6;monuerint;ils auront averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;plus-que-parfait;1;monueram;j'avais averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;plus-que-parfait;2;monueras;tu avais averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;plus-que-parfait;3;monuerat;il avait averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;plus-que-parfait;4;monueramus;nous avions averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;plus-que-parfait;5;monueratis;vous aviez averti;moneo, es, ere, ui, itum
monere;avertir;2;actif;plus-que-parfait;6;monuerant;ils avaient averti;moneo, es, ere, ui, itum
timere;craindre;2;actif;présent;1;timeo;je crains;timeo, es, ere, ui, -
timere;craindre;2;actif;présent;2;times;tu crains;timeo, es, ere, ui, -
timere;craindre;2;actif;présent;3;timet;il craint;timeo, es, ere, ui, -
timere;craindre;2;actif;présent;4;timemus;nous craignons;timeo, es, ere, ui, -
timere;craindre;2;actif;présent;5;timetis;vous craignez;timeo, es, ere, ui, -
timere;craindre;2;actif;présent;6;timent;ils craignent;timeo, es, ere, ui, -
timere;craindre;2;actif;futur;1;timebo;je craindrai;timeo, es, ere, ui, -
timere;craindre;2;actif;futur;2;timebis;tu craindras;timeo, es, ere, ui, -
timere;craindre;2;actif;futur;3;timebit;il craindra;timeo, es, ere, ui, -
timere;craindre;2;actif;futur;4;timebimus;nous craindrons;timeo, es, ere, ui, -
timere;craindre;2;actif;futur;5;timebitis;vous craindrez;timeo, es, ere, ui, -
timere;craindre;2;actif;futur;6;timebunt;ils craindront;timeo, es, ere, ui, -
timere;craindre;2;actif;imparfait;1;timebam;je craignais;timeo, es, ere, ui, -
timere;craindre;2;actif;imparfait;2;timebas;tu craignais;timeo, es, ere, ui, -
timere;craindre;2;actif;imparfait;3;timebat;il craignait;timeo, es, ere, ui, -
timere;craindre;2;actif;imparfait;4;timebamus;nous craignions;timeo, es, ere, ui, -
timere;craindre;2;actif;imparfait;5;timebatis;vous craigniez;timeo, es, ere, ui, -
timere;craindre;2;actif;imparfait;6;timebant;ils craignaient;timeo, es, ere, ui, -
timere;craindre;2;actif;parfait;1;timui;j'ai craint;timeo, es, ere, ui, -
timere;craindre;2;actif;parfait;2;timuisti;tu as craint;timeo, es, ere, ui, -
timere;craindre;2;actif;parfait;3;timuit;il a craint;timeo, es, ere, ui, -
timere;craindre;2;actif;parfait;4;timuimus;nous avons craint;timeo, es, ere, ui, -
timere;craindre;2;actif;parfait;5;timuistis;vous avez craint;timeo, es, ere, ui, -
timere;craindre;2;actif;parfait;6;timuerunt;ils ont craint;timeo, es, ere, ui, -
timere;craindre;2;actif;futur antérieur;1;timuero;j'aurai craint;timeo, es, ere, ui, -
timere;craindre;2;actif;futur antérieur;2;timueris;tu auras craint;timeo, es, ere, ui, -
timere;craindre;2;actif;futur antérieur;3;timuerit;il aura craint;timeo, es, ere, ui, -
timere;craindre;2;actif;futur antérieur;4;timuerimus;nous aurons craint;timeo, es, ere, ui, -
timere;craindre;2;actif;futur antérieur;5;timueritis;vous aurez craint;timeo, es, ere, ui, -
timere;craindre;2;actif;futur antérieur;6;timuerint;ils auront craint;timeo, es, ere, ui, -
timere;craindre;2;actif;plus-que-parfait;1;timueram;j'avais craint;timeo, es, ere, ui, -
timere;craindre;2;actif;plus-que-parfait;2;timueras;tu avais craint;timeo, es, ere, ui, -
timere;craindre;2;actif;plus-que-parfait;3;timuerat;il avait craint;timeo, es, ere, ui, -
timere;craindre;2;actif;plus-que-parfait;4;timueramus;nous avions craint;timeo, es, ere, ui, -
timere;craindre;2;actif;plus-que-parfait;5;timueratis;vous aviez craint;timeo, es, ere, ui, -
timere;craindre;2;actif;plus-que-parfait;6;timuerant;ils avaient craint;timeo, es, ere, ui, -
uidere;voir;2;actif;présent;1;uideo;je vois;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;présent;2;uides;tu vois;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;présent;3;uidet;il voit;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;présent;4;uidemus;nous voyons;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;présent;5;uidetis;vous voyez;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;présent;6;uident;ils voient;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur;1;uidebo;je verrai;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur;2;uidebis;tu verras;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur;3;uidebit;il verra;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur;4;uidebimus;nous verrons;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur;5;uidebitis;vous verrez;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur;6;uidebunt;ils verront;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;imparfait;1;uidebam;je voyais;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;imparfait;2;uidebas;tu voyais;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;imparfait;3;uidebat;il voyait;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;imparfait;4;uidebamus;nous voyions;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;imparfait;5;uidebatis;vous voyiez;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;imparfait;6;uidebant;ils voyaient;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;parfait;1;uidi;j'ai vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;parfait;2;uidisti;tu as vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;parfait;3;uidit;il a vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;parfait;4;uidimus;nous avons vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;parfait;5;uidistis;vous avez vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;parfait;6;uiderunt;ils ont vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur antérieur;1;uidero;j'aurai vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur antérieur;2;uideris;tu auras vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur antérieur;3;uiderit;il aura vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur antérieur;4;uiderimus;nous aurons vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur antérieur;5;uideritis;vous aurez vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;futur antérieur;6;uiderint;ils auront vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;plus-que-parfait;1;uideram;j'avais vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;plus-que-parfait;2;uideras;tu avais vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;plus-que-parfait;3;uiderat;il avait vu;uideo, es, ere, uidi, uisum
uidere;voir;2;actif;plus-que-parfait;4;uideramus;nous avions vu;uideo, es, ere, uidi, uisum
